clauses;T;s;epochs;train_accuracy;test_accuracy;train_precision;test_precision;train_recall;test_recall;train_f1_score;test_f1_score
250;200;5;100;0.8878342884431709;0.8661493695441319;0.8878615542732973;0.8662953005240847;0.8878342884431709;0.8661493695441319;0.887827668512571;0.8661303004585928
250;200;10;100;0.8833273638968482;0.866270611057226;0.8844269174356258;0.8676587781565003;0.8833273638968482;0.866270611057226;0.8832160523210912;0.8661270180720783
250;200;50;100;0.8714780324737345;0.8563894277400582;0.8715221950951505;0.8563915939708754;0.8714780324737345;0.8563894277400582;0.8714797389103529;0.8563882165192092
250;200;100;100;0.8513013371537727;0.838688166828322;0.8513345763058019;0.8388834506911288;0.8513013371537727;0.838688166828322;0.8512899915713116;0.8386561978360569
500;400;5;100;0.9008476599808978;0.8709384093113482;0.9010511252117024;0.8709844688880548;0.9008476599808978;0.8709384093113482;0.9008442065840608;0.8709372126856912
500;400;10;100;0.906130611270296;0.8637245392822502;0.9067417010181804;0.8639866715490668;0.906130611270296;0.8637245392822502;0.9061103770936932;0.8637074465674999
500;400;50;100;0.8833572110792741;0.8632395732298739;0.8834499919802152;0.8632637129686409;0.8833572110792741;0.8632395732298739;0.8833575128389765;0.8632394485906151
500;400;100;100;0.8832378223495702;0.8569956353055286;0.8832405442195538;0.857041043436939;0.8832378223495702;0.8569956353055286;0.8832355445591242;0.8569874663565206
1500;1200;5;100;0.9453498089780324;0.8683317167798255;0.9459040311697334;0.8686111683252573;0.9453498089780324;0.8683317167798255;0.9453404698851069;0.8683140984949822
1500;1200;10;100;0.9453199617956065;0.8717264791464597;0.9455942904144605;0.8719134243318953;0.9453199617956065;0.8717264791464597;0.9453169010618813;0.8717161268712131
1500;1200;50;100;0.9169949856733525;0.8715446168768186;0.9177170983331022;0.8727866096493395;0.9169949856733525;0.8715446168768186;0.9169444564675604;0.8714221008886066
1500;1200;100;100;0.9444543935052531;0.8667555771096024;0.9445248779876466;0.8670042381574278;0.9444543935052531;0.8667555771096024;0.9444492666835215;0.8667256211951183
4000;3200;5;100;0.9817036771728749;0.876394277400582;0.9820144102852557;0.876960549046581;0.9817036771728749;0.876394277400582;0.9817025119510333;0.8763574958202708
4000;3200;10;100;0.9880312798471824;0.8761517943743938;0.988033352491988;0.8761664898979624;0.9880312798471824;0.8761517943743938;0.9880313576113456;0.8761520296750612
4000;3200;50;100;0.9935530085959885;0.8800315227934045;0.9936043323776481;0.8806538354217055;0.9935530085959885;0.8800315227934045;0.9935530906112564;0.8799922047167281
4000;3200;100;100;0.9939111747851003;0.8782735208535403;0.9939147725992771;0.8784645280097432;0.9939111747851003;0.8782735208535403;0.9939110999243638;0.8782524379114147
10000;8000;5;100;0.9995821394460362;0.8858511154219205;0.9995823980790985;0.8858563606164592;0.9995821394460362;0.8858511154219205;0.9995821405271149;0.8858497499613214
10000;8000;10;100;0.9999701528175741;0.8899127061105723;0.9999701546127854;0.890052291425492;0.9999701528175741;0.8899127061105723;0.9999701528243015;0.8899069256100574
10000;8000;50;100;0.999880611270296;0.8885790494665373;0.9998806399884943;0.8885856151086747;0.999880611270296;0.8885790494665373;0.9998806113766601;0.8885793934124085
10000;8000;100;100;0.9994329035339063;0.8886396702230844;0.999433307831359;0.8886846753366666;0.9994329035339063;0.8886396702230844;0.9994329053451416;0.8886339228485447
20000;16000;5;100;1.0;0.8924587778855481;1.0;0.8924823394242217;1.0;0.8924587778855481;1.0;0.8924553916086483
20000;16000;10;100;1.0;0.8937318137730359;1.0;0.893850274123912;1.0;0.8937318137730359;1.0;0.8937200435621467
20000;16000;50;100;1.0;0.8955504364694471;1.0;0.8955632901284157;1.0;0.8955504364694471;1.0;0.8955483026141275
20000;16000;100;100;0.999940305635148;0.8965809893307468;0.9999403128155612;0.896594215157423;0.999940305635148;0.8965809893307468;0.9999403056619517;0.8965812234429801
25000;20000;5;100;1.0;0.8956110572259942;1.0;0.8956177639610342;1.0;0.8956110572259942;1.0;0.8956096577458479
25000;20000;10;100;1.0;0.8945805043646945;1.0;0.8945912056535388;1.0;0.8945805043646945;1.0;0.8945785924505277
25000;20000;50;100;1.0;0.8960354025218235;1.0;0.8961615070429887;1.0;0.8960354025218235;1.0;0.8960233432486406
25000;20000;100;100;1.0;0.8919131910766246;1.0;0.8919201556819479;1.0;0.8919131910766246;1.0;0.8919135235386304
