clauses,T,s,epochs,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1_score,test_f1_score
250,200,5,100,0.9998515747914626,0.9987126831361491,0.9998515904834524,0.9987130441684284,0.9998515747914626,0.9987126831361491,0.9998515747074902,0.9987126797497967
250,200,10,100,0.9987532282482857,0.996934959847974,0.99875422979334,0.9969399539285282,0.9987532282482857,0.996934959847974,0.9987532220515565,0.9969349242100894
250,200,50,100,0.9871760619823671,0.986084717709802,0.9874329465898619,0.9863440881224966,0.9871760619823671,0.986084717709802,0.987173434785483,0.9860819298876631
250,200,100,100,0.9883931486923739,0.9859008153006804,0.9885009654476049,0.9859839281218984,0.9883931486923739,0.9859008153006804,0.9883930519151313,0.9859007422917777
500,400,5,100,1.0,0.9995095935756758,1.0,0.9995097123404413,1.0,0.9995095935756758,1.0,0.9995095928606273
500,400,10,100,0.9997625196663401,0.9984061791209465,0.9997626317051835,0.998410467878464,0.9997625196663401,0.9984061791209465,0.9997625192996868,0.9984061623022906
500,400,50,100,0.9994062991658503,0.9969962606510145,0.9994065500134679,0.9969995112433949,0.9994062991658503,0.9969962606510145,0.9994062977657856,0.9969962336276185
500,400,100,100,0.9966159052453468,0.9930117084533807,0.9966162659671859,0.9930132293247494,0.9966159052453468,0.9930117084533807,0.9966159134701773,0.9930117374981985
1500,1200,5,100,1.0,0.9995708943787164,1.0,0.9995710806147008,1.0,0.9995708943787164,1.0,0.9995708935885687
1500,1200,10,100,1.0,0.9995095935756758,1.0,0.9995097123404413,1.0,0.9995095935756758,1.0,0.9995095928606273
1500,1200,50,100,0.9997922047080476,0.9988965855452706,0.9997922203319178,0.998896850892571,0.9997922047080476,0.9988965855452706,0.9997922045904867,0.9988965830822194
1500,1200,100,100,0.999198503873898,0.9974253662722982,0.9991986490869559,0.9974253997798778,0.999198503873898,0.9974253662722982,0.9991985051579607,0.9974253680331898
4000,3200,5,100,1.0,0.9996321951817568,1.0,0.999632464012176,1.0,0.9996321951817568,1.0,0.9996321943607398
4000,3200,10,100,1.0,0.9996321951817568,1.0,0.999632464012176,1.0,0.9996321951817568,1.0,0.9996321943607398
4000,3200,50,100,0.999821889749755,0.9988352847422302,0.9998219176744115,0.9988356464646841,0.999821889749755,0.9988352847422302,0.9998218896147718,0.9988352816783875
4000,3200,100,100,0.999139133790483,0.9977931710905413,0.9991396368325631,0.9977981894893382,0.999139133790483,0.9977931710905413,0.9991391308500271,0.9977931454312644
10000,8000,5,100,1.0,0.9995708943787164,1.0,0.9995710806147008,1.0,0.9995708943787164,1.0,0.9995708935885687
10000,8000,10,100,1.0,0.9996321951817568,1.0,0.999632464012176,1.0,0.9996321951817568,1.0,0.9996321943607398
10000,8000,50,100,0.999940629916585,0.9991417887574328,0.9999406369214914,0.9991422641512208,0.999940629916585,0.9991417887574328,0.9999406298942969,0.999141786151552
10000,8000,100,100,0.9997922047080476,0.9986513823331086,0.9997922065470616,0.9986524504006867,0.9997922047080476,0.9986513823331086,0.999792204746502,0.9986513759473908
20000,16000,5,100,1.0,0.9996321951817568,1.0,0.999632464012176,1.0,0.9996321951817568,1.0,0.9996321943607398
20000,16000,10,100,1.0,0.9996321951817568,1.0,0.999632464012176,1.0,0.9996321951817568,1.0,0.9996321943607398
20000,16000,50,100,1.0,0.9993256911665542,1.0,0.9993258764534364,1.0,0.9993256911665542,1.0,0.9993256899248935
20000,16000,100,100,0.9996734645412176,0.998344878317906,0.9996734664239704,0.9983454746804917,0.9996734645412176,0.998344878317906,0.9996734646016463,0.9983448726080928
25000,20000,5,100,1.0,0.9996321951817568,1.0,0.999632464012176,1.0,0.9996321951817568,1.0,0.9996321943607398
25000,20000,10,100,1.0,0.9996321951817568,1.0,0.999632464012176,1.0,0.9996321951817568,1.0,0.9996321943607398
25000,20000,50,100,0.9999703149582925,0.9992643903635138,0.9999703167316984,0.9992646574523734,0.9999703149582925,0.9992643903635138,0.999970314963786,0.9992643887214796
25000,20000,100,100,0.9997328346246327,0.998222276711825,0.999732836485516,0.9982249567533438,0.9997328346246327,0.998222276711825,0.9997328346740743,0.9982222624954592
